d_index,Model,ACA,AOA_tau,F1,Composite
33.0,Phi,1.0,1.0,1.0,1.0
33.0,Mistral,1.0,1.0,1.0,1.0
33.0,LLaMA,0.4193548387096774,1.0,0.5909090909090909,0.63841642228739
33.0,Gemma,1.0,1.0,1.0,1.0
46.0,Phi,0.3620689655172413,0.9047619047619048,0.5316455696202532,0.5723535158279811
46.0,Mistral,0.2931034482758621,0.2352941176470588,0.4533333333333333,0.37767951318458415
46.0,LLaMA,0.396551724137931,1.0,0.5679012345679012,0.620051085568327
46.0,Gemma,0.3620689655172413,0.9047619047619048,0.5316455696202532,0.5723535158279811
63.0,Phi,0.0669642857142857,0.0,0.1171548117154811,0.08368574417214579
63.0,Mistral,0.0044642857142856,0.0,0.0,0.0008928571428571202
63.0,LLaMA,0.9955357142857144,0.0,0.0,0.1991071428571429
63.0,Gemma,0.0558035714285714,1.0,0.979591836734694,0.7989158163265306
65.0,Phi,0.9655172413793104,0.9642857142857144,0.9642857142857144,0.9645320197044336
65.0,Mistral,0.6206896551724138,0.9444444444444444,0.7391304347826088,0.756505080792937
65.0,LLaMA,0.896551724137931,1.0,0.9454545454545454,0.9465830721003134
65.0,Gemma,0.7931034482758621,1.0,0.8846153846153846,0.8893899204244032
81.0,Phi,0.7794117647058824,1.0,0.8666666666666666,0.8758823529411763
81.0,Mistral,0.1323529411764705,1.0,0.2337662337662337,0.36673032849503434
81.0,LLaMA,0.0294117647058823,0.0,0.0,0.00588235294117646
81.0,Gemma,0.5735294117647058,1.0,0.7289719626168224,0.7520890599230345
82.0,Phi,1.0,1.0,1.0,1.0
82.0,Mistral,1.0,1.0,1.0,1.0
82.0,LLaMA,1.0,1.0,1.0,1.0
82.0,Gemma,1.0,1.0,1.0,1.0
86.0,Phi,0.7083333333333333,0.3529411764705882,0.8292682926829268,0.7098158775705403
86.0,Mistral,0.7291666666666667,1.0,0.8433734939759037,0.8518574297188755
86.0,LLaMA,0.3958333333333333,1.0,0.5671641791044776,0.6194651741293532
86.0,Gemma,0.7916666666666666,1.0,0.8837209302325582,0.8885658914728682
93.0,Phi,0.6285714285714286,1.0,0.7719298245614035,0.7888721804511278
93.0,Mistral,1.0,1.0,1.0,1.0
93.0,LLaMA,0.6571428571428571,1.0,0.7931034482758621,0.8072906403940887
93.0,Gemma,0.5428571428571429,0.9473684210526316,0.7037037037037037,0.7202673350041772
94.0,Phi,0.6290322580645161,0.3333333333333333,0.297029702970297,0.37069094006174813
94.0,Mistral,0.6129032258064516,0.2368421052631578,0.18,0.2779490662139219
94.0,LLaMA,0.3548387096774194,0.8181818181818182,0.4285714285714286,0.4917469627147047
94.0,Gemma,0.4193548387096774,0.6153846153846154,0.3448275862068965,0.41384444254299646
