**Title:** PaliGemma: A versatile 3B VLM for transfer

**Authors:**  
- Name: Lucas Beyer, Affiliation: NA, Email: NA 
- Name: Andreas Steiner, Affiliation: NA, Email: NA
- Name: André Susano Pinto, Affiliation: NA, Email: NA
- Name: Alexander Kolesnikov, Affiliation: NA, Email: NA
- Name: Xiao Wang, Affiliation: NA, Email: NA
- Name: Daniel Salz, Affiliation: NA, Email: NA
- Name: Maxim Neumann, Affiliation: NA, Email: NA
- Name: Ibrahim Alabdulmohsin, Affiliation: NA, Email: NA
- Name: Michael Tschannen, Affiliation: NA, Email: NA
- Name: Emanuele Bugliarello, Affiliation: NA, Email: NA
- Name: Thomas Unterthiner, Affiliation: NA, Email: NA
- Name: Daniel Keysers, Affiliation: NA, Email: NA
- Name: Skanda Koppula, Affiliation: NA, Email: NA
- Name: Fangyu Liu, Affiliation: NA, Email: NA
- Name: Adam Grycner, Affiliation: NA, Email: NA
- Name: Alexey Gritsenko, Affiliation: NA, Email: NA
- Name: Neil Houlsby, Affiliation: NA, Email: NA
- Name: Manoj Kumar, Affiliation: NA, Email: NA
- Name: Keran Rong, Affiliation: NA, Email: NA
- Name: Julian Eisenschlos, Affiliation: NA, Email: NA
- Name: Rishabh Kabra, Affiliation: NA, Email: NA
- Name: Matthias Bauer, Affiliation: NA, Email: NA
- Name: Matko Bošnjak, Affiliation: NA, Email: NA
- Name: Xi Chen, Affiliation: NA, Email: NA
- Name: Matthias Minderer, Affiliation: NA, Email: NA
- Name: Paul Voigtlaender, Affiliation: NA, Email: NA
- Name: Ioana Bica, Affiliation: NA, Email: NA
- Name: Ivana Balazevic, Affiliation: NA, Email: NA
- Name: Joan Puigcerver, Affiliation: NA, Email: NA
- Name: Pinelopi Papalampidi, Affiliation: NA, Email: NA
- Name: Olivier Henaff, Affiliation: NA, Email: NA
- Name: Xi Xiong, Affiliation: NA, Email: NA
- Name: Radu Soricut, Affiliation: NA, Email: NA
- Name: Jeremiah Harmsen, Affiliation: NA, Email: NA 
- Name: Xiaohua Zhai, Affiliation: NA, Email: NA

