 Title: The Pile: An 800GB Dataset of Diverse Text for Language Modeling
   Authors:
   - Name: Leo Gao, Affiliation: N/A, Email: N/A
   - Name: Stella Biderman, Affiliation: N/A, Email: N/A
   - Name: Sid Black, Affiliation: N/A, Email: N/A
   - Name: Laurence Golding, Affiliation: N/A, Email: N/A
   - Name: Travis Hoppe, Affiliation: N/A, Email: N/A
   - Name: Charles Foster, Affiliation: N/A, Email: N/A
   - Name: Jason Phang, Affiliation: N/A, Email: N/A
   - Name: Horace He, Affiliation: N/A, Email: N/A
   - Name: Anish Thite, Affiliation: N/A, Email: N/A
   - Name: Noa Nabeshima, Affiliation: N/A, Email: N/A
   - Name: Shawn Presser, Affiliation: N/A, Email: N/A
   - Name: Connor Leahy, Affiliation: N/A, Email: N/A
   - Name: EleutherAI, Affiliation: contact@eleuther.ai
