 Title: Code Llama: Open Foundation Models for Code
   Authors:
   - Name: Baptiste Rozière, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Jonas Gehring, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Fabian Gloeckle, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Sten Sootla, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Itai Gat, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Xiaoqing Ellen Tan, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Yossi Adi, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Jingyu Liu, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Romain Sauvestre, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Tal Remez, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Jérémy Rapin, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Artyom Kozhevnikov, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Ivan Evtimov, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Joanna Bitton, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Manish Bhatt, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Cristian Canton Ferrer, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Aaron Grattafiori, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Wenhan Xiong, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Alexandre Défossez, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Jade Copet, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Faisal Azhar, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Hugo Touvron, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Louis Martin, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Nicolas Usunier, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Thomas Scialom, Affiliation: Meta AI, Email: N/A (No specific email provided)
   - Name: Gabriel Synnaeve, Affiliation: Meta AI, Email: N/A (No specific email provided)
