**Title:** Language Models are Few-Shot Learners

**Authors:**  
- Name: Tom B. Brown, Affiliation: OpenAI, Email: NA  
- Name: Benjamin Mann, Affiliation: OpenAI, Email: NA  
- Name: Nick Ryder, Affiliation: OpenAI, Email: NA  
- Name: Melanie Subbiah, Affiliation: OpenAI, Email: NA  
- Name: Jared Kaplan, Affiliation: Johns Hopkins University, OpenAI, Email: NA  
- Name: Prafulla Dhariwal, Affiliation: OpenAI, Email: NA  
- Name: Arvind Neelakantan, Affiliation: OpenAI, Email: NA  
- Name: Pranav Shyam, Affiliation: OpenAI, Email: NA  
- Name: Girish Sastry, Affiliation: OpenAI, Email: NA  
- Name: Amanda Askell, Affiliation: OpenAI, Email: NA  
- Name: Sandhini Agarwal, Affiliation: OpenAI, Email: NA  
- Name: Ariel Herbert-Voss, Affiliation: OpenAI, Email: NA  
- Name: Gretchen Krueger, Affiliation: OpenAI, Email: NA  
- Name: Tom Henighan, Affiliation: OpenAI, Email: NA  
- Name: Rewon Child, Affiliation: OpenAI, Email: NA  
- Name: Aditya Ramesh, Affiliation: OpenAI, Email: NA  
- Name: Daniel M. Ziegler, Affiliation: OpenAI, Email: NA  
- Name: Jeffrey Wu, Affiliation: OpenAI, Email: NA  
- Name: Clemens Winter, Affiliation: OpenAI, Email: NA  
- Name: Christopher Hesse, Affiliation: OpenAI, Email: NA  
- Name: Mark Chen, Affiliation: OpenAI, Email: NA  
- Name: Eric Sigler, Affiliation: OpenAI, Email: NA  
- Name: Mateusz Litwin, Affiliation: OpenAI, Email: NA  
- Name: Scott Gray, Affiliation: OpenAI, Email: NA  
- Name: Benjamin Chess, Affiliation: OpenAI, Email: NA  
- Name: Jack Clark, Affiliation: OpenAI, Email: NA  
- Name: Christopher Berner, Affiliation: OpenAI, Email: NA  
- Name: Sam McCandlish, Affiliation: OpenAI, Email: NA  
- Name: Alec Radford, Affiliation: OpenAI, Email: NA  
- Name: Ilya Sutskever, Affiliation: OpenAI, Email: NA  
- Name: Dario Amodei, Affiliation: OpenAI, Email: NA  

(Note: Email addresses are not provided in the context.)
