**Expected Output:**

Title: QWEN2 TECHNICAL REPORT 
Authors:   
- Name: An Yang, Affiliation: Alibaba Group, Email: N/A  
- Name: Baosong Yang, Affiliation: Alibaba Group, Email: N/A  
- Name: Binyuan Hui, Affiliation: Alibaba Group, Email: N/A  
- Name: Bo Zheng, Affiliation: Alibaba Group, Email: N/A 
- Name: Bowen Yu, Affiliation: Alibaba Group, Email: N/A
- Name: Chang Zhou, Affiliation: Alibaba Group, Email: N/A
- Name: Chengpeng Li, Affiliation: Alibaba Group, Email: N/A
- Name: Chengyuan Li, Affiliation: Alibaba Group, Email: N/A
- Name: Dayiheng Liu, Affiliation: Alibaba Group, Email: N/A
- Name: Fei Huang, Affiliation: Alibaba Group, Email: N/A
- Name: Guanting Dong, Affiliation: Alibaba Group, Email: N/A
- Name: Haoran Wei, Affiliation: Alibaba Group, Email: N/A
- Name: Huan Lin, Affiliation: Alibaba Group, Email: N/A
- Name: Jialong Tang, Affiliation: Alibaba Group, Email: N/A
- Name: Jialin Wang, Affiliation: Alibaba Group, Email: N/A
- Name: Jian Yang, Affiliation: Alibaba Group, Email: N/A
- Name: Jianhong Tu, Affiliation: Alibaba Group, Email: N/A
- Name: Jianwei Zhang, Affiliation: Alibaba Group, Email: N/A
- Name: Jianxin Ma, Affiliation: Alibaba Group, Email: N/A
- Name: Jianxin Yang, Affiliation: Alibaba Group, Email: N/A
- Name: Jin Xu, Affiliation: Alibaba Group, Email: N/A
- Name: Jingren Zhou, Affiliation: Alibaba Group, Email: N/A
- Name: Jinze Bai, Affiliation: Alibaba Group, Email: N/A
- Name: Jinzheng He, Affiliation: Alibaba Group, Email: N/A
- Name: Junyang Lin, Affiliation: Alibaba Group, Email: N/A
- Name: Kai Dang, Affiliation: Alibaba Group, Email: N/A
- Name: Keming Lu, Affiliation: Alibaba Group, Email: N/A
- Name: Keqin Chen, Affiliation: Alibaba Group, Email: N/A
- Name: Kexin Yang, Affiliation: Alibaba Group, Email: N/A
- Name: Mei Li, Affiliation: Alibaba Group, Email: N/A
- Name: Mingfeng Xue, Affiliation: Alibaba Group, Email: N/A
- Name: Na Ni, Affiliation: Alibaba Group, Email: N/A
- Name: Pei Zhang, Affiliation: Alibaba Group, Email: N/A
- Name: Peng Wang, Affiliation: Alibaba Group, Email: N/A
- Name: Ru Peng, Affiliation: Alibaba Group, Email: N/A
- Name: Rui Men, Affiliation: Alibaba Group, Email: N/A
- Name: Ruize Gao, Affiliation: Alibaba Group, Email: N/A
- Name: Runji Lin, Affiliation: Alibaba Group, Email: N/A
- Name: Shijie Wang, Affiliation: Alibaba Group, Email: N/A
- Name: Shuai Bai, Affiliation: Alibaba Group, Email: N/A
- Name: Sinan Tan, Affiliation: Alibaba Group, Email: N/A
- Name: Tianhang Zhu, Affiliation: Alibaba Group, Email: N/A
- Name: Tianhao Li, Affiliation: Alibaba Group, Email: N/A
- Name: Tianyu Liu, Affiliation: Alibaba Group, Email: N/A
- Name: Wenbin Ge, Affiliation: Alibaba Group, Email: N/A
- Name: Xiaodong Deng, Affiliation: Alibaba Group, Email: N/A
- Name: Xiaohuan Zhou, Affiliation: Alibaba Group, Email: N/A
- Name: Xingzhang Ren, Affiliation: Alibaba Group, Email: N/A
- Name: Xinyu Zhang, Affiliation: Alibaba Group, Email: N/A
- Name: Xipin Wei, Affiliation: Alibaba Group, Email: N/A
- Name: Xuancheng Ren, Affiliation: Alibaba Group, Email: N/A
- Name: Xuejing Liu, Affiliation: Alibaba Group, Email: N/A
- Name: Yang Fan, Affiliation: Alibaba Group, Email: N/A
- Name: Yang Yao, Affiliation: Alibaba Group, Email: N/A 
- Name: Yichang Zhang, Affiliation: Alibaba Group, Email: N/A
- Name: Yu Wan, Affiliation: Alibaba Group, Email: N/A
- Name: Yunfei Chu, Affiliation: Alibaba Group, Email: N/A
- Name: Yuqiong Liu, Affiliation: Alibaba Group, Email: N/A 
- Name: Zeyu Cui, Affiliation: Alibaba Group, Email: N/A
- Name: Zhenru Zhang, Affiliation: Alibaba Group, Email: N/A
- Name: Zhifang Zeng, Affiliation: Alibaba Group, Email: N/A
- Name: Zhiyi Yang, Affiliation: Alibaba Group, Email: N/A



