Based on the provided context, here is the extracted title and author information in the requested format:


Title: Evaluating Large Language Models Trained on Code  
Authors:  
- Name: Mark Chen, Affiliation: NA, Email: NA  
- Name: Jerry Tworek, Affiliation: NA, Email: NA  
- Name: Heewoo Jun, Affiliation: NA, Email: NA  
- Name: Qiming Yuan, Affiliation: NA, Email: NA  
- Name: Henrique Ponde de Oliveira Pinto, Affiliation: NA, Email: NA  
- Name: Jared Kaplan, Affiliation: 2, Email: NA  
- Name: Harri Edwards, Affiliation: 1, Email: NA  
- Name: Yuri Burda, Affiliation: 1, Email: NA  
- Name: Nicholas Joseph, Affiliation: 2, Email: NA  
- Name: Greg Brockman, Affiliation: 1, Email: NA  
- Name: Alex Ray, Affiliation: 1, Email: NA  
- Name: Raul Puri, Affiliation: 1, Email: NA  
- Name: Gretchen Krueger, Affiliation: 1, Email: NA  
- Name: Michael Petrov, Affiliation: 1, Email: NA  
- Name: Heidy Khlaaf, Affiliation: 3, Email: NA  
- Name: Girish Sastry, Affiliation: 1, Email: NA  
- Name: Pamela Mishkin, Affiliation: 1, Email: NA  
- Name: Brooke Chan, Affiliation: 1, Email: NA  
- Name: Scott Gray, Affiliation: 1, Email: NA  
- Name: Nick Ryder, Affiliation: 1, Email: NA  
- Name: Mikhail Pavlov, Affiliation: 1, Email: NA  
- Name: Alethea Power, Affiliation: 1, Email: NA  
- Name: Lukasz Kaiser, Affiliation: 1, Email: NA  
- Name: Mohammad Bavarian, Affiliation: 1, Email: NA  
- Name: Clemens Winter, Affiliation: 1, Email: NA  
- Name: Philippe Tillet, Affiliation: 1, Email: NA  
- Name: Felipe Petroski Such, Affiliation: 1, Email: NA  
- Name: Dave Cummings, Affiliation: 1, Email: NA  
- Name: Matthias Plappert, Affiliation: 1, Email: NA  
- Name: Fotios Chantzis, Affiliation: 1, Email: NA  
- Name: Elizabeth Barnes, Affiliation: 1, Email: NA  
- Name: Ariel Herbert-Voss, Affiliation: 1, Email: NA  
- Name: William Hebgen Guss, Affiliation: 1, Email: NA  
- Name: Alex Nichol, Affiliation: 1, Email: NA  
- Name: Alex Paino, Affiliation: 1, Email: NA  
- Name: Nikolas Tezak, Affiliation: 1, Email: NA  
- Name: Jie Tang, Affiliation: 1, Email: NA  
- Name: Igor Babuschkin, Affiliation: 1, Email: NA  
- Name: Suchir Balaji, Affiliation: 1, Email: NA  
- Name: Shantanu Jain, Affiliation: 1, Email: NA  
- Name: William Saunders, Affiliation: 1, Email: NA  
- Name: Christopher Hesse, Affiliation: 1, Email: NA  
- Name: Andrew N. Carr, Affiliation: 1, Email: NA  
- Name: Jan Leike, Affiliation: 1, Email: NA  
- Name: Josh Achiam, Affiliation: 1, Email: NA  
- Name: Vedant Misra, Affiliation: 1, Email: NA  
- Name: Evan Morikawa, Affiliation: 1, Email: NA  
- Name: Alec Radford, Affiliation: 1, Email: NA  
- Name: Matthew Knight, Affiliation: 1, Email: NA  
- Name: Miles Brundage, Affiliation: 1, Email: NA  
- Name: Mira Murati, Affiliation: 1, Email: NA  
- Name: Katie Mayer, Affiliation: 1, Email: NA  
- Name: Peter Welinder, Affiliation: 1, Email: NA  
- Name: Bob McGrew, Affiliation: 1, Email: NA  
- Name: Dario Amodei, Affiliation: 2, Email: NA  
- Name: Sam McCandlish, Affiliation: 2, Email: NA  
- Name: Ilya Sutskever, Affiliation: 1, Email: NA  
- Name: Wojciech Zaremba, Affiliation: 1, Email: NA
